 The UK’s recommended FOPNL,Responding as ..,Are you responding as ....?,Break,Please confirm your age,Parental permission,I am the parent or guardian of the child/young person responding to this survey,Please give your permission for your child to contribute to this consultation,Email consent,Would you like to receive updates about other Department of Health and Social Care consultations?,Is it okay for the Department of Health and Social Care to contact you by email about your response?,Demographic questions,What is your age?,How would you describe your gender?,What is your ethnicity? Choose one option that best describes your ethnic group or background,Which area of the UK do you live in?,Are you a parent or guardian for a child under the age of 16?,Break,How many children under the age of 16 do you have?,What is your current income?,Do you consider yourself to be disabled?,Do you have a long term condition?,If you would like to specify your long term condition please provide further details,Which of these best describes you/your profession?,What is your profession?,{{Organisation-Business}},What is the name of your {{organisation-business}}?,What is your role in the {{Organisation-Business}}?,How would you describe the work of your {{Organisation-Business}}?,How many employees does your business or organisation have?,Where does your {{organisation-business}} operate? ,Multiple traffic light label for food and drink businesses,Do you feature a Front of Pack Nutrition Label on your products?,Break,Is the label the Government approved Multiple Traffic Light labelling system?,Why does your business not use any Front of Pack Nutrition Labelling?,Break,Please explain what Front of Pack Nutrition Labelling your business features on its products and why you chose this over the Government recommended label.,What percentage of your product portfolio carries Multiple Traffic Light labelling?,What percentage of your product portfolio carries this form of Front of Pack Nutrition Labelling?,What would incentivise you to use Front of Pack Nutrition Labelling on your products in the future?,Break,What products do not carry Front of Pack Nutrition Labelling on and why?,What products do not carry Multiple Traffic Light label on and why?,When adopting the Multiple Traffic Light Label - did you incur costs over and above existing labelling cycles? Please quantify these costs.,Why does your business not use the Government recommended Multiple Traffic Light labelling on your products?,Did the introduction of Multiple Traffic Light influence any reformulation of your products?,What would encourage you to adopt Multiple Traffic Light labelling on your products?,"In principle, would your business support a proposal to display the same Front of Pack Nutritional label on your products?",Multiple traffic light label for the public,Do you use the Multiple Traffic Light label to make choices about the food and drinks that you buy?,Please explain your choice,Clear,Informative,"Individual nutrients (fat, saturates, sugar, salt)","Use of red, amber and green colours",Reference intakes,Portion size,How could the Multiple Traffic Light label be made easier to use?,Would you find it helpful if more products displayed the same Front of Pack Nutritional label?,New international examples,"Do you think you would be more likely to adopt one of these labels on your products, compared to current Multiple Traffic Light label?",Do you think you would be likely to use one of these labels more when shopping compared to current Multiple Traffic Light label?,Break,Which label would you be more likely to use?,Break,Use of five colours,Use of letters,Lack of specific nutrition information and portion size,Providing a single score for a product to indicate overall healthfulness,Other (please specify),Use of colour (black and white only),Highlighting only less healthy options,Lack of specific nutrition information and portion size,Other (please specify),Understanding or identification of healthier choices,Please upload evidence,Healthier purchasing behaviours,Please upload evidence,Additional Considerations,Understanding or identification of healthier choices,Healthier purchasing behaviours,Link to Dietary Advice,Do you think the Government should ensure that the recommended front of pack nutritional label reflects latest dietary advice on free sugar?, Please explain your answer:,Do you think the Government should ensure that the recommended front of pack nutritional label reflects the latest dietary advice on fibre?, Please explain your answer:,Public Sector Equality Duty,"Do you think that Front of Pack Nutritional Labelling is likely to have an impact on people on the basis of their age, sex, race, religion, sexual orientation, pregnancy and maternity, disability, gender reassignment and marriage/civil partnership?",Please  provide relevant evidence,"Eliminating discrimination, harassment, victimisation and any other conduct that is prohibited by or under the Equality Act 2010",Advancing equality of opportunity between persons who share a relevant protected characteristic and persons who do not share it?,Fostering good relations between persons who share a relevant protected characteristic and persons who do not share it?, Please explain which aims it would help achieve and how. ,Could the proposals be changed so that they are more effective?,"If you think that proposals could be changed to be more effective, please explain what changes would be needed",Socio-economic considerations,Do you think that the proposals in this consultation could impact on people from more deprived backgrounds?,Please explain your answer and provide relevant evidence,Upload evidence,Technical Annex,on the provisional list of evaluation criteria?,Please provide your comments.,on the provisional list of costs and benefits?,Please provide your comments.,on the evidence and commentary provided for the labelling schemes?, Please provide your comments.,If you have additional documents please provide them here.,Before you submit your response,How satisfied are you with the consultation process?,How did you hear about the consultation?,On which social media channel did you hear about the consultation?,What could we do better?,Response ID,Completed
1,,an organisation,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,Public Health Agency,Health and Social Wellbeing Senior Officers (x2),NHS,250 people or more,Northern Ireland,,,,,,,,,,,,,,,,,,,,Very frequently,The PHA develop and design public information and promote the use of FoPL through nutrion education programmes and literature. ,Yes,Yes,Easy,Very easy,Moderate,Somewhat difficult,portion size = pack size  assocaited nutrtional information is relevant to consuming pack size   RI require a level of numeracy skills.  Is this level of detail required by the general population? ,Yes,,,No,,,,Like,I do not have a view,Dislike,Dislike,,Dislike,Dislike,Dislike,,No,,No,,,Australia use an overall health star rating.  https://foodregulation.gov.au/internet/fr/publishing.nsf/Content/front-of-pack-labelling-1   ,,,No,It will over complicate the information presented on front of pack labelling however this level of detail could be elsewhere on packaging if room allows. This emphasises the importance of public nutrition education progammes and information campaigns. ,No,It will over complicate the information presented on front of pack labelling however this level of detail could be elsewhere on packaging if room allows.This emphasises the importance of public nutrition education progammes and information campaigns.  ,,No,"FoPL is designed to be short, visual information for the consumer.",No,No,No,,No,,,I do not know,"We have considered the current FoPL however we are unsure of what the new proposal is?  It is well evidenced that people from lower socio economic backgrounds consume foods higher in fat, sugar and salt. A simplistic method of displaying nutrtiion information on FoP could therfore help reduce intake of foods high in fat, salt and sugar. ",,,I do not have a view,,I do not have a view,,I do not have a view,,,,Satisfied,"Word of mouth (family, friend or colleague)",,A clearer rationale on what the proposed changes are on FoPL.  ,b9ef8898-12e7-4743-ae23-44f644a59d68,28/09/2020 15:10
2,,an individual,,16 or over,,,,,No,No,,25 - 29,Male (including transgender men),White,South East,No,,,"£40,000 to £59,000",No,No,,NHS or health service delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,Very frequently,,Yes,Yes,Easy,Very easy,Easy,Easy,Make potion size clearer and indicate if high or low glycaemic index (GI).,Yes,,,No,,,,Like,I do not have a view,Dislike,Like,,Dislike,Like,Dislike,,No,,No,,,,,,Yes,,Yes,,,No,,Yes,Yes,Yes,,I don't know,,,Yes,Improved health benefits for those most deprived.,,,No,,No,,No,,,,Satisfied,Received an email,Department of Health & Social Care,,5a74a968-64b0-4dcf-910c-120135a3e29e,28/09/2020 12:28
3,,an individual,,16 or over,,,,,No,No,,30 - 39,Female (including transgender women),White,East of England,No,,,"Less than £20,000",No,Yes,,Social care,Carer,,,,,,,,,,,,,,,,,,,,,,,,,,Very frequently,,Yes,Yes,Easy,Somewhat difficult,Easy,Moderate,,Yes,,,No,,,,Dislike,Dislike,Dislike,Dislike,,Dislike,Dislike,Dislike,,Yes,,Yes,,,,,,Yes,,Yes,,,Yes,,I do not know,I do not know,I do not know,,I don't know,,,I do not know,,,,I do not have a view,,I do not have a view,,I do not have a view,,,,Somewhat satisfied,Social Media,Beat,,f4c4d3ba-9fa1-4679-a759-b319db5cab13,27/09/2020 21:03
4,,an individual,,16 or over,,,,,No,No,,20 - 24,Female (including transgender women),White,North West,No,,,"Less than £20,000",No,No,,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,Very frequently,,Yes,Yes,Very easy,Very easy,Very easy,Very easy,,Yes,,,No,,,,Like,Like,Dislike,Like,,Dislike,Dislike,Dislike,,I do not know,,I do not know,,,,,,Yes,,Yes,,,I do not know,,I do not know,I do not know,I do not know,,I don't know,,,I do not know,,,,I do not have a view,,I do not have a view,,I do not have a view,,,,Satisfied,University lecturer,,,83a14bcb-3b63-41ac-a12d-aebf84914673,25/09/2020 13:37
5,,an individual,,16 or over,,,,,No,No,,40 - 49,Female (including transgender women),White,Scotland,No,,,"£20,000 to £39,000",No,No,,Government/civil service,,,,,,,,,,,,,,,,,,,,,,,,,,,Always,,Yes,Yes,Easy,Easy,Somewhat difficult,Somewhat difficult,,Yes,,,Yes,,Nutri-score,,Like,Like,Dislike,Like,,Dislike,Dislike,Dislike,,Yes,,Yes,,,,,,Yes,,Yes,,,No,,No,I do not know,I do not know,,I don't know,,,No,,,,No,,No,,No,,,,Somewhat satisfied,Social Media,LinkedIn ,,3a119405-d405-4f43-b089-d48585a9fb94,25/09/2020 12:01
6,,an individual,,16 or over,,,,,No,No,,50 - 59,Female (including transgender women),White,East Midlands,No,,,"£60,000 to £99,000",No,Yes,Asthma ,NHS or health service delivery,NHS communications and engagement manager ,,,,,,,,,,,,,,,,,,,,,,,,,,Very frequently,"Less fat, less calories and less salt preferred ",Yes,Yes,Very easy,Very easy,Very easy,Very easy,On the front of everything so that you don’t have to pick items up and turn them over or examine them.  Very important for hygiene and Covid prevention,Yes,,,Yes,,Nutri-score,,Like,Like,Dislike,Like,,Dislike,Dislike,Dislike,,Yes,,Yes,,,,,,Yes,,Yes,,,No,,No,No,No,,Yes,,,No,,,,No,,No,,No,,,,Very satisfied,Received an email,,,8c8a2f03-e201-4074-9e0d-a49ff0f93846,24/09/2020 05:46
7,,an individual,,16 or over,,,,,No,Yes,,25 - 29,Female (including transgender women),White,London,No,,,"£20,000 to £39,000",No,Yes,PCOs,Private sector,Paid social account manager (advertising),,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,"I will often look at sugar levels as well as calories. Though calories tend to be confusing and needs further attention as sometimes it will include everything in the pack, and sometimes it will not. For example, 100g of crisps will state calories in a 35g portion yet, realistically, no one will measure the exact quantity. It is also not clear when a certain macro nutrient becomes a different colour. How many grams is yellow or red? Additionally, will it be green or yellow if it only contains a couple of grams of sugar but in a very small portion? It should be more clear when something is definitely not healthy. Even if something contains a small amount of an unhealthy nutrient, but would be a lot in a large quantity, colours should reflect that. No one eats two biscuits. Portion sizes should me more realistic too. They might be recommendations but not always how people eat. Also, is the reference intake based on a male or a female requirements? If so, why? Shouldn't there then be an average between the two?",No,Yes,Very easy,Moderate,Easy,Easy,Explained above,Yes,,,No,,,,Like,Like,Dislike,Like,I think this is a better approach yet g per portion should also be displayed ,Dislike,I do not have a view,Dislike,These should not replace the current system but should appear in addition to a label to emphasise if a product is very unhealthy ,No,,No,,,,,,Yes,"Free sugar is the unhealthy sugar. There's sugar in bananas but they're naturally occuring, not added, making them healthy. Thus it is not fair to include naturally occuring sugars in this.",Yes,"It has been shown that fibre triggers fullness signals and is known to be a very important part of anyone's diets. Although there's a risk manufactures might start adding fibre to improve their products appeal despite still being heavily processed, displaying fibre on labels more clearly should be overall beneficial. Maybe there should be another way to illustrate to what degree products are processed which tend to reflect how generally healthy or not they are.",,No,,No,No,No,,Yes,I have already outlined my views previously.,,Yes,More deprived backgrounds are less likely to have good understanding of nutrition and health hence improvements in labelling should in theory help people make choices without having to be knowledgeable about nutrition.,,,No,,Yes,Covid should play a part here. We know that people now eat in more and so businesses should not be struggling implementing changes and so this is a perfect opportunity.,No,,,,Very satisfied,GOV.UK or other government website,Did not find it on social media,,49349a4b-c228-4929-b898-85412f137fc9,23/09/2020 21:55
8,,an individual,,16 or over,,,,,No,No,,60 - 69,Male (including transgender men),White,North West,No,,,"£20,000 to £39,000",No,No,,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,Very frequently,To assess impact on healthy dieting,I do not have a view,Yes,Moderate,Easy,Easy,Easy,,Yes,,,Yes,,Nutri-score,,Like,Like,I do not have a view,Like,,I do not have a view,Dislike,Dislike,,I do not know,,I do not know,,,,,,Yes,Maintains awareness of health impacts,Yes,As above,,I do not know,,I do not know,I do not know,I do not know,,I don't know,,,Yes,Raise awareness of need to maintain a balanced diet ,,,I do not have a view,,I do not have a view,,I do not have a view,,,,Somewhat satisfied,Received an email,,,a7ffb85a-70d5-483a-b9c9-9eb64b86f621,23/09/2020 17:43
9,,an individual,,16 or over,,,,,Yes,No,,40 - 49,Male (including transgender men),White,South East,Yes,,2,"£40,000 to £59,000",No,No,,NHS or health service delivery,Nursing,,,,,,,,,,,,,,,,,,,,,,,,,,Very frequently,,Yes,Yes,Very easy,Very easy,Difficult,Easy,Include carbohydrates. ,Yes,,,Yes,,Chile,,Like,Dislike,Dislike,Dislike,,Dislike,Like,Dislike,,No,,No,,,,,,Yes,Sugar causes obesity and type 2 diabesity,Yes,,,No,,No,No,No,,Yes,"Carbohydrates should be included, so that people can reduce carbohydrate intake more easily. The emphasis on salt as a negative is not strongly evidenced. Not all fats are unhealthy. ",,I do not know,,,,I do not have a view,,I do not have a view,,I do not have a view,,,,Satisfied,Received an email,Department of Health & Social Care,,cbe9d157-4ac0-40d8-99b1-68c361932344,23/09/2020 16:49
10,,an individual,,16 or over,,,,,Yes,Yes,,70 - 79,Female (including transgender women),White,London,No,,,Prefer not to say,No,No,,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,Very frequently,,Yes,Yes,Very easy,Very easy,Very easy,Easy,,Yes,,,No,,,,Dislike,Dislike,Dislike,Dislike,Need more information not just letters and colours. ,Dislike,Dislike,Dislike,Need more information ,No,,No,,,,,,Yes,,Yes,,,I do not know,,I do not know,I do not know,I do not know,,I don't know,,,No,,,,I do not have a view,,I do not have a view,,I do not have a view,,,,Satisfied,Direct communication from third sector organisation or regulatory organisation,,,2321dbea-7aab-408b-8839-3e55a097a639,23/09/2020 13:43
