Responders,"Do you have any comments on the material provided in the technical annex?
on the provisional list of evaluation criteria? Please provide your comments. [Free text box] ",T1,T2,T3,T4,T5,T6,,answers,,Other
1,,NA,,,,,,,NA,,
2,,NA,,,,,,,Did not answer the question,,
3,,NA,,,,,,,Other,,
4,,NA,,,,,,,COVID should be mentioned ,,
5,,NA,,,,,,,Small businesses can�t afford testing products/updating labels would result in higher costs,,
6,,NA,,,,,,,Need data & impact of FOP on health,,
7,,NA,,,,,,,Education needed/familiarisation costs,,
8,,NA,,,,,,,Examine impacts of labelling in other countries,,
9,,NA,,,,,,,Consider eating disorders,,
10,,NA,,,,,,,Mandatory,,
11,,NA,,,,,,,Healthcare costs,,
12,,NA,,,,,,,further nutritional information,,
13,,NA,,,,,,,,,
14,,NA,,,,,,,,,
15,,NA,,,,,,,,,
16,,NA,,,,,,,,,
17,,NA,,,,,,,,,
18,,NA,,,,,,,,,
19,,NA,,,,,,,,,
20,,NA,,,,,,,,,
21,,NA,,,,,,,,,
22,,NA,,,,,,,,,
23,,NA,,,,,,,,,
24,,NA,,,,,,,,,
25,,NA,,,,,,,,,
26,,NA,,,,,,,,,
27,,NA,,,,,,,,,
28,,NA,,,,,,,,,
29,,NA,,,,,,,,,
30,,NA,,,,,,,,,
31,,NA,,,,,,,,,
32,,NA,,,,,,,,,
33,,NA,,,,,,,,,
34,,NA,,,,,,,,,
35,,NA,,,,,,,,,
36,,NA,,,,,,,,,
37,,NA,,,,,,,,,
38,,NA,,,,,,,,,
39,,NA,,,,,,,,,
40,,NA,,,,,,,,,
41,,NA,,,,,,,,,
42,,NA,,,,,,,,,
43,,NA,,,,,,,,,
44,,NA,,,,,,,,,
45,,NA,,,,,,,,,
46,I have not been able to give the time to this list,Did not answer the question,,,,,,,,,
47,,NA,,,,,,,,,
48,,NA,,,,,,,,,
49,,NA,,,,,,,,,
50,,NA,,,,,,,,,
51,,NA,,,,,,,,,
52,,NA,,,,,,,,,
53,,NA,,,,,,,,,
54,,NA,,,,,,,,,
55,,NA,,,,,,,,,
56,,NA,,,,,,,,,
